Sourah Arabic,Sourah Number,Verse Number,Verse Diac,Verse,Label
سورة الاسراء,17,23,۞وَقَضَىٰ رَبُّكَ أَلَّا تَعۡبُدُوٓاْ إِلَّآ إِيَّاهُ وَبِٱلۡوَٰلِدَيۡنِ إِحۡسَٰنًاۚ إِمَّا يَبۡلُغَنَّ عِندَكَ ٱلۡكِبَرَ أَحَدُهُمَآ أَوۡ كِلَاهُمَا فَلَا تَقُل لَّهُمَآ أُفّٖ وَلَا تَنۡهَرۡهُمَا وَقُل لَّهُمَا قَوۡلٗا كَرِيمٗا,وقضىٰ ربك الا تعبدوا الا اياه وبالوٰلدين احسٰنا اما يبلغن عندك الكبر احدهما او كلاهما فلا تقل لهما اف ولا تنهرهما وقل لهما قولا كريما,joy
سورة الانعام,6,23,ثُمَّ لَمۡ تَكُن فِتۡنَتُهُمۡ إِلَّآ أَن قَالُواْ وَٱللَّهِ رَبِّنَا مَا كُنَّا مُشۡرِكِينَ,ثم لم تكن فتنتهم الا ان قالوا والله ربنا ما كنا مشركين,anger
سورة يونس,10,33,كَذَٰلِكَ حَقَّتۡ كَلِمَتُ رَبِّكَ عَلَى ٱلَّذِينَ فَسَقُوٓاْ أَنَّهُمۡ لَا يُؤۡمِنُونَ,كذٰلك حقت كلمت ربك على الذين فسقوا انهم لا يؤمنون,fear
سورة الاعلىٰ,87,12,ٱلَّذِي يَصۡلَى ٱلنَّارَ ٱلۡكُبۡرَىٰ,الذي يصلى النار الكبرىٰ,fear
سورة الكهف,18,91,كَذَٰلِكَۖ وَقَدۡ أَحَطۡنَا بِمَا لَدَيۡهِ خُبۡرٗا,كذٰلك وقد احطنا بما لديه خبرا,fear
سورة الروم,30,59,كَذَٰلِكَ يَطۡبَعُ ٱللَّهُ عَلَىٰ قُلُوبِ ٱلَّذِينَ لَا يَعۡلَمُونَ,كذٰلك يطبع الله علىٰ قلوب الذين لا يعلمون,anger
سورة الاعراف,7,197,وَٱلَّذِينَ تَدۡعُونَ مِن دُونِهِۦ لَا يَسۡتَطِيعُونَ نَصۡرَكُمۡ وَلَآ أَنفُسَهُمۡ يَنصُرُونَ,والذين تدعون من دونه لا يستطيعون نصركم ولا انفسهم ينصرون,sadness
سورة الملك,67,4,ثُمَّ ٱرۡجِعِ ٱلۡبَصَرَ كَرَّتَيۡنِ يَنقَلِبۡ إِلَيۡكَ ٱلۡبَصَرُ خَاسِئٗا وَهُوَ حَسِيرٞ,ثم ارجع البصر كرتين ينقلب اليك البصر خاسئا وهو حسير,sadness
سورة الحج,22,20,يُصۡهَرُ بِهِۦ مَا فِي بُطُونِهِمۡ وَٱلۡجُلُودُ,يصهر به ما في بطونهم والجلود,fear
سورة الصافات,37,11,فَٱسۡتَفۡتِهِمۡ أَهُمۡ أَشَدُّ خَلۡقًا أَم مَّنۡ خَلَقۡنَآۚ إِنَّا خَلَقۡنَٰهُم مِّن طِينٖ لَّازِبِۭ,فاستفتهم اهم اشد خلقا ام من خلقنا انا خلقنٰهم من طين لازب,anger
سورة يونس,10,98,فَلَوۡلَا كَانَتۡ قَرۡيَةٌ ءَامَنَتۡ فَنَفَعَهَآ إِيمَٰنُهَآ إِلَّا قَوۡمَ يُونُسَ لَمَّآ ءَامَنُواْ كَشَفۡنَا عَنۡهُمۡ عَذَابَ ٱلۡخِزۡيِ فِي ٱلۡحَيَوٰةِ ٱلدُّنۡيَا وَمَتَّعۡنَٰهُمۡ إِلَىٰ حِينٖ,فلولا كانت قرية ءامنت فنفعها ايمٰنها الا قوم يونس لما ءامنوا كشفنا عنهم عذاب الخزي في الحيوٰة الدنيا ومتعنٰهم الىٰ حين,joy
سورة المؤمنون,23,67,مُسۡتَكۡبِرِينَ بِهِۦ سَٰمِرٗا تَهۡجُرُونَ,مستكبرين به سٰمرا تهجرون,anger
سورة الواقعة,56,73,نَحۡنُ جَعَلۡنَٰهَا تَذۡكِرَةٗ وَمَتَٰعٗا لِّلۡمُقۡوِينَ,نحن جعلنٰها تذكرة ومتٰعا للمقوين,joy
سورة الزلزلة,99,7,فَمَن يَعۡمَلۡ مِثۡقَالَ ذَرَّةٍ خَيۡرٗا يَرَهُۥ,فمن يعمل مثقال ذرة خيرا يره,joy
سورة العلق,96,6,كَلَّآ إِنَّ ٱلۡإِنسَٰنَ لَيَطۡغَىٰٓ,كلا ان الانسٰن ليطغىٰ,sadness
سورة الصافات,37,65,طَلۡعُهَا كَأَنَّهُۥ رُءُوسُ ٱلشَّيَٰطِينِ,طلعها كانه رءوس الشيٰطين,fear
سورة الانسان,76,26,وَمِنَ ٱلَّيۡلِ فَٱسۡجُدۡ لَهُۥ وَسَبِّحۡهُ لَيۡلٗا طَوِيلًا,ومن اليل فاسجد له وسبحه ليلا طويلا,joy
سورة غافر,40,15,رَفِيعُ ٱلدَّرَجَٰتِ ذُو ٱلۡعَرۡشِ يُلۡقِي ٱلرُّوحَ مِنۡ أَمۡرِهِۦ عَلَىٰ مَن يَشَآءُ مِنۡ عِبَادِهِۦ لِيُنذِرَ يَوۡمَ ٱلتَّلَاقِ,رفيع الدرجٰت ذو العرش يلقي الروح من امره علىٰ من يشاء من عباده لينذر يوم التلاق,fear
سورة عبس,80,14,مَّرۡفُوعَةٖ مُّطَهَّرَةِۭ,مرفوعة مطهرة,joy
سورة الذاريات,51,15,إِنَّ ٱلۡمُتَّقِينَ فِي جَنَّٰتٖ وَعُيُونٍ,ان المتقين في جنٰت وعيون,joy
سورة القمر,54,25,أَءُلۡقِيَ ٱلذِّكۡرُ عَلَيۡهِ مِنۢ بَيۡنِنَا بَلۡ هُوَ كَذَّابٌ أَشِرٞ,اءلقي الذكر عليه من بيننا بل هو كذاب اشر,anger
سورة النور,24,50,أَفِي قُلُوبِهِم مَّرَضٌ أَمِ ٱرۡتَابُوٓاْ أَمۡ يَخَافُونَ أَن يَحِيفَ ٱللَّهُ عَلَيۡهِمۡ وَرَسُولُهُۥۚ بَلۡ أُوْلَٰٓئِكَ هُمُ ٱلظَّٰلِمُونَ,افي قلوبهم مرض ام ارتابوا ام يخافون ان يحيف الله عليهم ورسوله بل اولٰئك هم الظٰلمون,anger
سورة الفرقان,25,70,إِلَّا مَن تَابَ وَءَامَنَ وَعَمِلَ عَمَلٗا صَٰلِحٗا فَأُوْلَٰٓئِكَ يُبَدِّلُ ٱللَّهُ سَيِّـَٔاتِهِمۡ حَسَنَٰتٖۗ وَكَانَ ٱللَّهُ غَفُورٗا رَّحِيمٗا,الا من تاب وءامن وعمل عملا صٰلحا فاولٰئك يبدل الله سياتهم حسنٰت وكان الله غفورا رحيما,joy
سورة الانسان,76,23,إِنَّا نَحۡنُ نَزَّلۡنَا عَلَيۡكَ ٱلۡقُرۡءَانَ تَنزِيلٗا,انا نحن نزلنا عليك القرءان تنزيلا,joy
سورة العنكبوت,29,65,فَإِذَا رَكِبُواْ فِي ٱلۡفُلۡكِ دَعَوُاْ ٱللَّهَ مُخۡلِصِينَ لَهُ ٱلدِّينَ فَلَمَّا نَجَّىٰهُمۡ إِلَى ٱلۡبَرِّ إِذَا هُمۡ يُشۡرِكُونَ,فاذا ركبوا في الفلك دعوا الله مخلصين له الدين فلما نجىٰهم الى البر اذا هم يشركون,anger
سورة القلم,68,50,فَٱجۡتَبَٰهُ رَبُّهُۥ فَجَعَلَهُۥ مِنَ ٱلصَّٰلِحِينَ,فاجتبٰه ربه فجعله من الصٰلحين,joy
سورة الاعراف,7,52,وَلَقَدۡ جِئۡنَٰهُم بِكِتَٰبٖ فَصَّلۡنَٰهُ عَلَىٰ عِلۡمٍ هُدٗى وَرَحۡمَةٗ لِّقَوۡمٖ يُؤۡمِنُونَ,ولقد جئنٰهم بكتٰب فصلنٰه علىٰ علم هدى ورحمة لقوم يؤمنون,joy
سورة المجادلة,58,21,كَتَبَ ٱللَّهُ لَأَغۡلِبَنَّ أَنَا۠ وَرُسُلِيٓۚ إِنَّ ٱللَّهَ قَوِيٌّ عَزِيزٞ,كتب الله لاغلبن انا ورسلي ان الله قوي عزيز,joy
سورة الرحمٰن,55,72,حُورٞ مَّقۡصُورَٰتٞ فِي ٱلۡخِيَامِ,حور مقصورٰت في الخيام,joy
سورة التكوير,81,24,وَمَا هُوَ عَلَى ٱلۡغَيۡبِ بِضَنِينٖ,وما هو على الغيب بضنين,sadness
سورة الماعون,107,1,أَرَءَيۡتَ ٱلَّذِي يُكَذِّبُ بِٱلدِّينِ,ارءيت الذي يكذب بالدين,anger
سورة يونس,10,76,فَلَمَّا جَآءَهُمُ ٱلۡحَقُّ مِنۡ عِندِنَا قَالُوٓاْ إِنَّ هَٰذَا لَسِحۡرٞ مُّبِينٞ,فلما جاءهم الحق من عندنا قالوا ان هٰذا لسحر مبين,fear
سورة ق,50,25,مَّنَّاعٖ لِّلۡخَيۡرِ مُعۡتَدٖ مُّرِيبٍ,مناع للخير معتد مريب,sadness
سورة الرعد,13,8,ٱللَّهُ يَعۡلَمُ مَا تَحۡمِلُ كُلُّ أُنثَىٰ وَمَا تَغِيضُ ٱلۡأَرۡحَامُ وَمَا تَزۡدَادُۚ وَكُلُّ شَيۡءٍ عِندَهُۥ بِمِقۡدَارٍ,الله يعلم ما تحمل كل انثىٰ وما تغيض الارحام وما تزداد وكل شيء عنده بمقدار,joy
سورة الانسان,76,7,يُوفُونَ بِٱلنَّذۡرِ وَيَخَافُونَ يَوۡمٗا كَانَ شَرُّهُۥ مُسۡتَطِيرٗا,يوفون بالنذر ويخافون يوما كان شره مستطيرا,fear
سورة الحاقة,69,1,ٱلۡحَآقَّةُ,الحاقة,fear
سورة التوبة,9,125,وَأَمَّا ٱلَّذِينَ فِي قُلُوبِهِم مَّرَضٞ فَزَادَتۡهُمۡ رِجۡسًا إِلَىٰ رِجۡسِهِمۡ وَمَاتُواْ وَهُمۡ كَٰفِرُونَ,واما الذين في قلوبهم مرض فزادتهم رجسا الىٰ رجسهم وماتوا وهم كٰفرون,anger
سورة فصلت,41,36,وَإِمَّا يَنزَغَنَّكَ مِنَ ٱلشَّيۡطَٰنِ نَزۡغٞ فَٱسۡتَعِذۡ بِٱللَّهِۖ إِنَّهُۥ هُوَ ٱلسَّمِيعُ ٱلۡعَلِيمُ,واما ينزغنك من الشيطٰن نزغ فاستعذ بالله انه هو السميع العليم,fear
سورة الشرح,94,7,فَإِذَا فَرَغۡتَ فَٱنصَبۡ,فاذا فرغت فانصب,joy
سورة الانبياء,21,35,كُلُّ نَفۡسٖ ذَآئِقَةُ ٱلۡمَوۡتِۗ وَنَبۡلُوكُم بِٱلشَّرِّ وَٱلۡخَيۡرِ فِتۡنَةٗۖ وَإِلَيۡنَا تُرۡجَعُونَ,كل نفس ذائقة الموت ونبلوكم بالشر والخير فتنة والينا ترجعون,fear
سورة الزمر,39,23,ٱللَّهُ نَزَّلَ أَحۡسَنَ ٱلۡحَدِيثِ كِتَٰبٗا مُّتَشَٰبِهٗا مَّثَانِيَ تَقۡشَعِرُّ مِنۡهُ جُلُودُ ٱلَّذِينَ يَخۡشَوۡنَ رَبَّهُمۡ ثُمَّ تَلِينُ جُلُودُهُمۡ وَقُلُوبُهُمۡ إِلَىٰ ذِكۡرِ ٱللَّهِۚ ذَٰلِكَ هُدَى ٱللَّهِ يَهۡدِي بِهِۦ مَن يَشَآءُۚ وَمَن يُضۡلِلِ ٱللَّهُ فَمَا لَهُۥ مِنۡ هَادٍ,الله نزل احسن الحديث كتٰبا متشٰبها مثاني تقشعر منه جلود الذين يخشون ربهم ثم تلين جلودهم وقلوبهم الىٰ ذكر الله ذٰلك هدى الله يهدي به من يشاء ومن يضلل الله فما له من هاد,fear
سورة الجن,72,16,وَأَلَّوِ ٱسۡتَقَٰمُواْ عَلَى ٱلطَّرِيقَةِ لَأَسۡقَيۡنَٰهُم مَّآءً غَدَقٗا,والو استقٰموا على الطريقة لاسقينٰهم ماء غدقا,joy
سورة عبس,80,26,ثُمَّ شَقَقۡنَا ٱلۡأَرۡضَ شَقّٗا,ثم شققنا الارض شقا,fear
سورة فاطر,35,34,وَقَالُواْ ٱلۡحَمۡدُ لِلَّهِ ٱلَّذِيٓ أَذۡهَبَ عَنَّا ٱلۡحَزَنَۖ إِنَّ رَبَّنَا لَغَفُورٞ شَكُورٌ,وقالوا الحمد لله الذي اذهب عنا الحزن ان ربنا لغفور شكور,joy
سورة هود,11,103,إِنَّ فِي ذَٰلِكَ لَأٓيَةٗ لِّمَنۡ خَافَ عَذَابَ ٱلۡأٓخِرَةِۚ ذَٰلِكَ يَوۡمٞ مَّجۡمُوعٞ لَّهُ ٱلنَّاسُ وَذَٰلِكَ يَوۡمٞ مَّشۡهُودٞ,ان في ذٰلك لاية لمن خاف عذاب الاخرة ذٰلك يوم مجموع له الناس وذٰلك يوم مشهود,fear
سورة الانشقاق,84,10,وَأَمَّا مَنۡ أُوتِيَ كِتَٰبَهُۥ وَرَآءَ ظَهۡرِهِۦ,واما من اوتي كتٰبه وراء ظهره,sadness
سورة الاحزاب,33,70,يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُواْ ٱتَّقُواْ ٱللَّهَ وَقُولُواْ قَوۡلٗا سَدِيدٗا,يٰايها الذين ءامنوا اتقوا الله وقولوا قولا سديدا,fear
سورة الجاثية,45,7,وَيۡلٞ لِّكُلِّ أَفَّاكٍ أَثِيمٖ,ويل لكل افاك اثيم,anger
سورة الصافات,37,82,ثُمَّ أَغۡرَقۡنَا ٱلۡأٓخَرِينَ,ثم اغرقنا الاخرين,fear
سورة الزخرف,43,10,ٱلَّذِي جَعَلَ لَكُمُ ٱلۡأَرۡضَ مَهۡدٗا وَجَعَلَ لَكُمۡ فِيهَا سُبُلٗا لَّعَلَّكُمۡ تَهۡتَدُونَ,الذي جعل لكم الارض مهدا وجعل لكم فيها سبلا لعلكم تهتدون,joy
سورة القمر,54,27,إِنَّا مُرۡسِلُواْ ٱلنَّاقَةِ فِتۡنَةٗ لَّهُمۡ فَٱرۡتَقِبۡهُمۡ وَٱصۡطَبِرۡ,انا مرسلوا الناقة فتنة لهم فارتقبهم واصطبر,anger
سورة المؤمنون,23,107,رَبَّنَآ أَخۡرِجۡنَا مِنۡهَا فَإِنۡ عُدۡنَا فَإِنَّا ظَٰلِمُونَ,ربنا اخرجنا منها فان عدنا فانا ظٰلمون,sadness
سورة الزخرف,43,50,فَلَمَّا كَشَفۡنَا عَنۡهُمُ ٱلۡعَذَابَ إِذَا هُمۡ يَنكُثُونَ,فلما كشفنا عنهم العذاب اذا هم ينكثون,anger
سورة الحاقة,69,24,كُلُواْ وَٱشۡرَبُواْ هَنِيٓـَٔۢا بِمَآ أَسۡلَفۡتُمۡ فِي ٱلۡأَيَّامِ ٱلۡخَالِيَةِ,كلوا واشربوا هنيا بما اسلفتم في الايام الخالية,joy
سورة البروج,85,14,وَهُوَ ٱلۡغَفُورُ ٱلۡوَدُودُ,وهو الغفور الودود,joy
سورة هود,11,47,قَالَ رَبِّ إِنِّيٓ أَعُوذُ بِكَ أَنۡ أَسۡـَٔلَكَ مَا لَيۡسَ لِي بِهِۦ عِلۡمٞۖ وَإِلَّا تَغۡفِرۡ لِي وَتَرۡحَمۡنِيٓ أَكُن مِّنَ ٱلۡخَٰسِرِينَ,قال رب اني اعوذ بك ان اسلك ما ليس لي به علم والا تغفر لي وترحمني اكن من الخٰسرين,sadness
سورة الانعام,6,33,قَدۡ نَعۡلَمُ إِنَّهُۥ لَيَحۡزُنُكَ ٱلَّذِي يَقُولُونَۖ فَإِنَّهُمۡ لَا يُكَذِّبُونَكَ وَلَٰكِنَّ ٱلظَّٰلِمِينَ بِـَٔايَٰتِ ٱللَّهِ يَجۡحَدُونَ,قد نعلم انه ليحزنك الذي يقولون فانهم لا يكذبونك ولٰكن الظٰلمين بايٰت الله يجحدون,sadness
سورة النمل,27,83,وَيَوۡمَ نَحۡشُرُ مِن كُلِّ أُمَّةٖ فَوۡجٗا مِّمَّن يُكَذِّبُ بِـَٔايَٰتِنَا فَهُمۡ يُوزَعُونَ,ويوم نحشر من كل امة فوجا ممن يكذب بايٰتنا فهم يوزعون,anger
سورة ص,38,15,وَمَا يَنظُرُ هَٰٓؤُلَآءِ إِلَّا صَيۡحَةٗ وَٰحِدَةٗ مَّا لَهَا مِن فَوَاقٖ,وما ينظر هٰؤلاء الا صيحة وٰحدة ما لها من فواق,anger
سورة القمر,54,45,سَيُهۡزَمُ ٱلۡجَمۡعُ وَيُوَلُّونَ ٱلدُّبُرَ,سيهزم الجمع ويولون الدبر,fear
سورة الاعراف,7,2,كِتَٰبٌ أُنزِلَ إِلَيۡكَ فَلَا يَكُن فِي صَدۡرِكَ حَرَجٞ مِّنۡهُ لِتُنذِرَ بِهِۦ وَذِكۡرَىٰ لِلۡمُؤۡمِنِينَ,كتٰب انزل اليك فلا يكن في صدرك حرج منه لتنذر به وذكرىٰ للمؤمنين,fear
سورة الطور,52,49,وَمِنَ ٱلَّيۡلِ فَسَبِّحۡهُ وَإِدۡبَٰرَ ٱلنُّجُومِ,ومن اليل فسبحه وادبٰر النجوم,joy
سورة الروم,30,16,وَأَمَّا ٱلَّذِينَ كَفَرُواْ وَكَذَّبُواْ بِـَٔايَٰتِنَا وَلِقَآيِٕ ٱلۡأٓخِرَةِ فَأُوْلَٰٓئِكَ فِي ٱلۡعَذَابِ مُحۡضَرُونَ,واما الذين كفروا وكذبوا بايٰتنا ولقاي الاخرة فاولٰئك في العذاب محضرون,sadness
سورة الزخرف,43,44,وَإِنَّهُۥ لَذِكۡرٞ لَّكَ وَلِقَوۡمِكَۖ وَسَوۡفَ تُسۡـَٔلُونَ,وانه لذكر لك ولقومك وسوف تسلون,fear
سورة الحجر,15,66,وَقَضَيۡنَآ إِلَيۡهِ ذَٰلِكَ ٱلۡأَمۡرَ أَنَّ دَابِرَ هَٰٓؤُلَآءِ مَقۡطُوعٞ مُّصۡبِحِينَ,وقضينا اليه ذٰلك الامر ان دابر هٰؤلاء مقطوع مصبحين,fear
سورة الشعراء,26,134,وَجَنَّٰتٖ وَعُيُونٍ,وجنٰت وعيون,joy
سورة الاعراف,7,36,وَٱلَّذِينَ كَذَّبُواْ بِـَٔايَٰتِنَا وَٱسۡتَكۡبَرُواْ عَنۡهَآ أُوْلَٰٓئِكَ أَصۡحَٰبُ ٱلنَّارِۖ هُمۡ فِيهَا خَٰلِدُونَ,والذين كذبوا بايٰتنا واستكبروا عنها اولٰئك اصحٰب النار هم فيها خٰلدون,anger
سورة مريم,19,76,وَيَزِيدُ ٱللَّهُ ٱلَّذِينَ ٱهۡتَدَوۡاْ هُدٗىۗ وَٱلۡبَٰقِيَٰتُ ٱلصَّٰلِحَٰتُ خَيۡرٌ عِندَ رَبِّكَ ثَوَابٗا وَخَيۡرٞ مَّرَدًّا,ويزيد الله الذين اهتدوا هدى والبٰقيٰت الصٰلحٰت خير عند ربك ثوابا وخير مردا,joy
سورة الزخرف,43,70,ٱدۡخُلُواْ ٱلۡجَنَّةَ أَنتُمۡ وَأَزۡوَٰجُكُمۡ تُحۡبَرُونَ,ادخلوا الجنة انتم وازوٰجكم تحبرون,joy
سورة الاعراف,7,119,فَغُلِبُواْ هُنَالِكَ وَٱنقَلَبُواْ صَٰغِرِينَ,فغلبوا هنالك وانقلبوا صٰغرين,anger
سورة الفرقان,25,29,لَّقَدۡ أَضَلَّنِي عَنِ ٱلذِّكۡرِ بَعۡدَ إِذۡ جَآءَنِيۗ وَكَانَ ٱلشَّيۡطَٰنُ لِلۡإِنسَٰنِ خَذُولٗا,لقد اضلني عن الذكر بعد اذ جاءني وكان الشيطٰن للانسٰن خذولا,sadness
سورة غافر,40,36,وَقَالَ فِرۡعَوۡنُ يَٰهَٰمَٰنُ ٱبۡنِ لِي صَرۡحٗا لَّعَلِّيٓ أَبۡلُغُ ٱلۡأَسۡبَٰبَ,وقال فرعون يٰهٰمٰن ابن لي صرحا لعلي ابلغ الاسبٰب,anger
سورة التكوير,81,10,وَإِذَا ٱلصُّحُفُ نُشِرَتۡ,واذا الصحف نشرت,fear
سورة الانبياء,21,104,يَوۡمَ نَطۡوِي ٱلسَّمَآءَ كَطَيِّ ٱلسِّجِلِّ لِلۡكُتُبِۚ كَمَا بَدَأۡنَآ أَوَّلَ خَلۡقٖ نُّعِيدُهُۥۚ وَعۡدًا عَلَيۡنَآۚ إِنَّا كُنَّا فَٰعِلِينَ,يوم نطوي السماء كطي السجل للكتب كما بدانا اول خلق نعيده وعدا علينا انا كنا فٰعلين,fear
سورة الانبياء,21,106,إِنَّ فِي هَٰذَا لَبَلَٰغٗا لِّقَوۡمٍ عَٰبِدِينَ,ان في هٰذا لبلٰغا لقوم عٰبدين,fear
سورة الزخرف,43,31,وَقَالُواْ لَوۡلَا نُزِّلَ هَٰذَا ٱلۡقُرۡءَانُ عَلَىٰ رَجُلٖ مِّنَ ٱلۡقَرۡيَتَيۡنِ عَظِيمٍ,وقالوا لولا نزل هٰذا القرءان علىٰ رجل من القريتين عظيم,sadness
سورة الفجر,89,11,ٱلَّذِينَ طَغَوۡاْ فِي ٱلۡبِلَٰدِ,الذين طغوا في البلٰد,anger
سورة الانبياء,21,42,قُلۡ مَن يَكۡلَؤُكُم بِٱلَّيۡلِ وَٱلنَّهَارِ مِنَ ٱلرَّحۡمَٰنِۚ بَلۡ هُمۡ عَن ذِكۡرِ رَبِّهِم مُّعۡرِضُونَ,قل من يكلؤكم باليل والنهار من الرحمٰن بل هم عن ذكر ربهم معرضون,sadness
سورة المدثر,74,8,فَإِذَا نُقِرَ فِي ٱلنَّاقُورِ,فاذا نقر في الناقور,fear
سورة الاحزاب,33,44,تَحِيَّتُهُمۡ يَوۡمَ يَلۡقَوۡنَهُۥ سَلَٰمٞۚ وَأَعَدَّ لَهُمۡ أَجۡرٗا كَرِيمٗا,تحيتهم يوم يلقونه سلٰم واعد لهم اجرا كريما,joy
سورة الحجر,15,20,وَجَعَلۡنَا لَكُمۡ فِيهَا مَعَٰيِشَ وَمَن لَّسۡتُمۡ لَهُۥ بِرَٰزِقِينَ,وجعلنا لكم فيها معٰيش ومن لستم له برٰزقين,anger
سورة القيامة,75,6,يَسۡـَٔلُ أَيَّانَ يَوۡمُ ٱلۡقِيَٰمَةِ,يسل ايان يوم القيٰمة,fear
سورة الجن,72,18,وَأَنَّ ٱلۡمَسَٰجِدَ لِلَّهِ فَلَا تَدۡعُواْ مَعَ ٱللَّهِ أَحَدٗا,وان المسٰجد لله فلا تدعوا مع الله احدا,joy
سورة يونس,10,11,۞وَلَوۡ يُعَجِّلُ ٱللَّهُ لِلنَّاسِ ٱلشَّرَّ ٱسۡتِعۡجَالَهُم بِٱلۡخَيۡرِ لَقُضِيَ إِلَيۡهِمۡ أَجَلُهُمۡۖ فَنَذَرُ ٱلَّذِينَ لَا يَرۡجُونَ لِقَآءَنَا فِي طُغۡيَٰنِهِمۡ يَعۡمَهُونَ,ولو يعجل الله للناس الشر استعجالهم بالخير لقضي اليهم اجلهم فنذر الذين لا يرجون لقاءنا في طغيٰنهم يعمهون,sadness
سورة الشمس,91,8,فَأَلۡهَمَهَا فُجُورَهَا وَتَقۡوَىٰهَا,فالهمها فجورها وتقوىٰها,fear
سورة الشعراء,26,38,فَجُمِعَ ٱلسَّحَرَةُ لِمِيقَٰتِ يَوۡمٖ مَّعۡلُومٖ,فجمع السحرة لميقٰت يوم معلوم,anger
سورة المرسلات,77,15,وَيۡلٞ يَوۡمَئِذٖ لِّلۡمُكَذِّبِينَ,ويل يومئذ للمكذبين,anger
سورة فصلت,41,52,قُلۡ أَرَءَيۡتُمۡ إِن كَانَ مِنۡ عِندِ ٱللَّهِ ثُمَّ كَفَرۡتُم بِهِۦ مَنۡ أَضَلُّ مِمَّنۡ هُوَ فِي شِقَاقِۭ بَعِيدٖ,قل ارءيتم ان كان من عند الله ثم كفرتم به من اضل ممن هو في شقاق بعيد,fear
